# WASP-18, TESS 2-minute cadence, TESS Sector 02
# time is days from the first measurement, flux is normalised
time,flux
0.347232,0.9896069
0.348621,0.9888366
0.350010,0.9887638
0.351399,0.9892672
0.352788,0.9888371
0.354177,0.9890756
0.355566,0.9881770
0.356955,0.9896863
0.358344,0.9888157
0.359733,0.9896604
0.361122,0.9890477
0.362511,0.9897723
0.363900,0.9902156
0.365289,0.9891855
0.366677,0.9893527
0.368066,0.9889804
0.369455,0.9901591
0.370844,0.9898272
0.372233,0.9898470
0.373622,0.9904376
0.375011,0.9898133
0.376400,0.9895709
0.377789,0.9897498
0.379178,0.9915542
0.380567,0.9908855
0.381956,0.9921108
0.383345,0.9912597
0.384734,0.9931305
0.386123,0.9955997
0.387511,0.9965646
0.388900,0.9978043
0.390289,0.9994591
0.391678,1.0000109
0.393067,0.9995407
0.394456,1.0002486
0.395845,0.9993878
0.397234,1.0001113
0.398623,1.0000046
0.400012,1.0003124
0.401401,1.0000016
0.402790,0.9990388
0.404179,0.9994239
0.405568,0.9992043
0.406956,0.9994558
0.408345,0.9996396
0.409734,0.9999484
0.411123,0.9988062
0.412512,1.0004160
0.413901,1.0009460
0.415290,0.9994775
0.416679,0.9994317
0.418068,1.0001500
0.419457,1.0005740
0.420846,1.0007859
0.422235,0.9992589
0.423624,0.9999871
0.425013,1.0000427
0.426401,1.0002746
0.427790,1.0003414
0.429179,0.9998780
0.430568,0.9992868
0.431957,0.9996458
0.433346,1.0002714
0.434735,0.9999861
0.436124,0.9987214
0.437513,0.9992316
0.438902,1.0002457
0.440291,0.9989237
0.441680,1.0001747
0.443069,1.0000624
0.444458,0.9993220
0.445846,1.0006802
0.447235,0.9999214
0.448624,0.9996914
0.450013,0.9993603
0.451402,1.0006284
0.452791,0.9996424
0.454180,1.0003339
0.455569,1.0000919
0.456958,1.0003534
0.458347,1.0004155
0.459736,0.9990794
0.461125,1.0001874
0.462514,1.0001975
0.463903,0.9994775
0.465291,0.9993041
0.466680,0.9989260
0.468069,1.0003600
0.469458,0.9991693
0.470847,1.0001373
0.472236,0.9996154
0.473625,1.0004331
0.475014,1.0001952
0.476403,0.9992430
0.477792,1.0002473
0.479181,1.0002313
0.480570,1.0003823
0.481959,1.0003059
0.483348,0.9996956
0.484736,1.0005234
0.486125,0.9999638
0.487514,1.0003640
0.488903,1.0000815
0.490292,1.0000813
0.491681,0.9997561
0.493070,1.0001005
0.494459,0.9998591
0.495848,0.9999782
0.497237,1.0012331
0.498626,1.0010040
0.500015,0.9998020
0.501404,0.9999701
0.502793,1.0001274
0.504181,0.9994083
0.505570,1.0000929
0.506959,0.9999651
0.508348,0.9997158
0.509737,0.9990324
0.511126,0.9993403
0.512515,0.9994629
0.513904,0.9994124
0.515293,0.9998641
0.516682,1.0004731
0.518071,1.0004817
0.519460,0.9998095
0.520849,1.0003971
0.522238,0.9993797
0.523626,1.0000491
0.525015,1.0007217
0.526404,0.9996523
0.527793,0.9995528
0.529182,1.0001800
0.530571,1.0001671
0.531960,1.0000946
0.533349,0.9995261
0.534738,0.9994374
0.536127,1.0007450
0.537516,0.9997576
0.538905,1.0007538
0.540294,0.9994358
0.541683,0.9995388
0.543072,0.9997370
0.544460,1.0006831
0.545849,1.0012927
0.547238,1.0007054
0.548627,0.9995428
0.550016,1.0000197
0.551405,0.9997423
0.552794,0.9992838
0.554183,0.9994402
0.555572,0.9996469
0.556961,0.9986311
0.558350,0.9996453
0.559739,1.0006121
0.561128,1.0006917
0.562517,0.9995948
0.563905,0.9988180
0.565294,1.0000500
0.566683,1.0005694
0.568072,1.0003629
0.569461,0.9995690
0.570850,1.0003990
0.572239,1.0004943
0.573628,0.9999545
0.575017,0.9997382
0.576406,1.0000573
0.577795,0.9997379
0.579184,1.0008346
