# TOI-270, TESS 2-minute cadence, TESS Sector 03
# time is days from the first measurement, flux is normalised
time,flux
0.397231,0.9984761
0.398620,0.9983200
0.400008,0.9990754
0.401397,1.0003172
0.402786,1.0018964
0.404175,0.9996375
0.405564,0.9999159
0.406953,1.0002494
0.408342,0.9999615
0.409731,1.0015972
0.411120,0.9990926
0.412509,0.9999356
0.413898,1.0024761
0.415287,0.9977243
0.416675,1.0003096
0.418064,1.0000697
0.419453,1.0000624
0.420842,1.0005052
0.422231,1.0004936
0.423620,0.9986018
0.425009,0.9983273
0.426398,1.0035765
0.427787,0.9984756
0.429176,1.0017384
0.430565,1.0033098
0.431954,1.0022056
0.433342,1.0002424
0.434731,0.9997964
0.436120,0.9999827
0.437509,0.9981369
0.438898,0.9965961
0.440287,0.9982637
0.441676,0.9998620
0.443065,0.9981249
0.444454,1.0006937
0.445843,1.0004307
0.447232,1.0003949
0.448621,1.0007982
0.450009,0.9993874
0.451398,0.9999813
0.452787,1.0009558
0.454176,0.9994492
0.455565,1.0004971
0.456954,1.0025373
0.458343,0.9994729
0.459732,1.0002948
0.461121,0.9981499
0.462510,1.0012228
0.463899,1.0018318
0.465288,0.9992334
0.466677,1.0005977
0.468065,0.9979410
0.469454,1.0024182
0.470843,0.9979631
0.472232,0.9994647
0.473621,0.9995615
0.475010,0.9988357
0.476399,1.0000228
0.477788,0.9985426
0.479177,0.9984067
0.480566,0.9974057
0.481955,0.9999955
0.483344,1.0014770
0.484732,1.0010425
0.486121,1.0007513
0.487510,1.0014796
0.488899,1.0014033
0.490288,1.0007355
0.491677,1.0005622
0.493066,0.9978108
0.494455,1.0000924
0.495844,0.9999323
0.497233,1.0004076
0.498622,0.9998400
0.500011,0.9997055
0.501399,1.0001716
0.502788,0.9996019
0.504177,1.0002334
0.505566,1.0015027
0.506955,1.0011227
0.508344,0.9998518
0.509733,1.0008477
0.511122,1.0002981
0.512511,1.0010450
0.513900,1.0001641
0.515289,1.0011108
0.516678,1.0014835
0.518066,0.9978698
0.519455,1.0002331
0.520844,0.9995046
0.522233,1.0025530
0.523622,0.9991838
0.525011,1.0001552
0.526400,0.9993429
0.527789,0.9995989
0.529178,1.0007798
0.530567,0.9978064
0.531956,0.9983399
0.533345,0.9968938
0.534733,1.0025362
0.536122,0.9972317
0.537511,0.9996945
0.538900,0.9995209
0.540289,0.9993234
0.541678,1.0022019
0.543067,1.0001709
0.544456,1.0001921
0.545845,1.0015025
0.547234,1.0006881
0.548623,1.0009555
0.550012,1.0006433
0.551400,1.0028166
0.552789,1.0020886
0.554178,0.9982302
0.555567,1.0007325
0.556956,1.0018708
0.558345,0.9991082
0.559734,0.9994739
0.561123,1.0016874
0.562512,0.9994586
0.563901,1.0009165
0.565290,1.0035137
0.566679,1.0009805
0.568068,1.0011549
0.569456,1.0000751
0.570845,1.0007626
0.572234,1.0004944
0.573623,0.9990372
0.575012,1.0005830
0.576401,1.0028621
0.577790,0.9992708
0.579179,0.9988739
0.580568,1.0008064
0.581957,1.0003481
0.583346,1.0002180
0.584735,0.9992527
0.586123,0.9989789
0.587512,0.9998815
0.588901,0.9986846
0.590290,1.0015537
0.591679,0.9978548
0.593068,1.0014789
0.594457,0.9997964
0.595846,0.9994464
0.597235,1.0004705
0.598624,0.9993185
0.600013,1.0012148
0.601402,0.9978940
0.602790,0.9987059
0.604179,1.0017090
0.605568,0.9982380
0.606957,1.0011899
0.608346,1.0021484
0.609735,1.0008246
0.611124,0.9996701
0.612513,0.9994502
0.613902,1.0015677
0.615291,0.9989509
0.616680,0.9986787
0.618069,0.9993570
0.619457,0.9993874
0.620846,1.0009202
0.622235,1.0009347
0.623624,0.9994513
0.625013,1.0011287
0.626402,0.9981782
0.627791,1.0009291
0.629180,0.9992643
0.630569,0.9990118
0.631958,1.0003336
0.633347,0.9984183
0.634736,1.0004016
0.636124,0.9998990
0.637513,0.9990815
0.638902,1.0016100
0.640291,0.9994973
0.641680,1.0004952
0.643069,1.0009512
0.644458,0.9990610
0.645847,1.0008349
0.647236,0.9989353
0.648625,1.0003154
0.650014,1.0015211
0.651403,1.0008885
0.652791,1.0007017
0.654180,1.0013681
0.655569,0.9987207
0.656958,0.9989355
0.658347,1.0016251
0.659736,1.0013959
0.661125,1.0004703
0.662514,1.0008904
0.663903,0.9994644
0.665292,0.9991725
0.666681,0.9979913
0.668070,0.9991083
0.669458,1.0005099
0.670847,1.0013161
0.672236,0.9998068
0.673625,0.9997343
0.675014,0.9978948
0.676403,1.0022736
0.677792,1.0016978
0.679181,0.9986245
0.680570,1.0018084
0.681959,1.0017133
0.683348,1.0012257
0.684737,1.0009904
0.686126,0.9983797
0.687514,0.9995934
0.688903,0.9998619
0.690292,1.0036047
0.691681,1.0008469
0.693070,1.0008809
0.694459,0.9978660
0.695848,1.0015849
0.697237,1.0004726
0.698626,0.9976452
0.700015,0.9999319
0.701404,0.9976751
0.702793,0.9992707
0.704181,0.9982086
0.705570,0.9985966
0.706959,0.9998235
0.708348,0.9987000
0.709737,1.0006244
0.711126,0.9991742
0.712515,1.0039808
0.713904,0.9973942
0.715293,0.9992109
0.716682,0.9989353
0.718071,1.0021566
0.719460,1.0009457
0.720848,0.9999384
0.722237,1.0014467
0.723626,1.0003017
0.725015,1.0008867
0.726404,0.9996158
0.727793,0.9986546
0.729182,1.0003165
0.730571,0.9988597
0.731960,1.0003457
0.733349,1.0007134
0.734738,1.0018520
0.736127,1.0011862
0.737515,1.0014327
0.738904,1.0021211
0.740293,1.0012015
0.741682,0.9993755
0.743071,1.0003864
0.744460,0.9994622
0.745849,0.9994234
0.747238,1.0007041
0.748627,0.9993542
0.750016,0.9988769
0.751405,0.9993562
0.752794,0.9991911
0.754182,0.9970676
0.755571,0.9999333
0.756960,0.9977667
0.758349,0.9998078
0.759738,1.0008880
0.761127,0.9966245
0.762516,1.0025814
0.763905,0.9984242
0.765294,0.9993294
0.766683,0.9988240
0.768072,1.0008031
0.769461,0.9999310
0.770849,1.0011849
0.772238,1.0016941
0.773627,0.9989849
0.775016,1.0032231
0.776405,0.9989409
0.777794,1.0011222
0.779183,1.0005552
0.780572,0.9978030
0.781961,1.0002710
0.783350,1.0004357
0.784739,0.9976319
0.786128,0.9989565
0.787516,1.0001723
0.788905,0.9996867
0.790294,1.0005557
0.791683,0.9988173
0.793072,0.9993949
0.794461,0.9998377
0.795850,0.9982579
0.797239,0.9986879
0.798628,0.9995202
0.800017,1.0007318
0.801406,1.0025462
0.802795,0.9971596
0.804184,1.0002872
0.805572,1.0000452
0.806961,0.9991261
0.808350,1.0021181
0.809739,1.0006329
0.811128,0.9987818
0.812517,0.9988811
0.813906,1.0009419
0.815295,1.0007495
0.816684,0.9999868
0.818073,1.0007918
0.819462,0.9989043
0.820851,0.9986924
0.822239,1.0022451
0.823628,1.0007279
0.825017,0.9993252
0.826406,0.9999744
0.827795,1.0000272
0.829184,1.0018786
0.830573,1.0038637
0.831962,0.9992584
0.833351,0.9990973
0.834740,1.0008064
0.837518,1.0001326
0.838906,0.9987488
0.840295,0.9977211
0.841684,1.0009053
0.843073,1.0010347
0.844462,0.9991959
0.845851,1.0011494
0.847240,1.0004122
0.848629,1.0011519
0.850018,0.9997109
0.851407,0.9996961
0.852796,0.9997985
0.854185,1.0017413
0.855573,1.0009149
