# HD 209458, TESS 2-minute cadence, TESS Sector 56
# time is days from the first measurement, flux is normalised
time,flux
0.397222,1.0000091
0.398611,1.0004314
0.400000,1.0002518
0.401389,0.9998444
0.402778,1.0000885
0.404167,1.0001627
0.405555,0.9997734
0.406944,0.9992992
0.408333,1.0000448
0.409722,0.9997993
0.411111,0.9999060
0.412500,1.0001552
0.413889,1.0000363
0.415278,0.9998421
0.416667,0.9999019
0.418055,0.9999923
0.419444,1.0002166
0.420833,0.9995159
0.422222,0.9997469
0.423611,1.0002444
0.425000,1.0000783
0.426389,1.0002592
0.427778,0.9999593
0.429167,1.0005384
0.430555,0.9996551
0.431944,1.0001532
0.433333,1.0000356
0.434722,1.0001421
0.436111,0.9998820
0.437500,0.9998245
0.438889,1.0002020
0.440278,1.0003800
0.441667,1.0001775
0.443055,0.9999104
0.444444,0.9999545
0.445833,0.9995936
0.447222,1.0003272
0.448611,0.9997666
0.450000,0.9998556
0.451389,1.0001326
0.452778,1.0000204
0.454166,0.9998246
0.455555,0.9998635
0.456944,0.9999223
0.458333,1.0002175
0.459722,1.0002904
0.461111,0.9993861
0.462500,0.9994823
0.463889,1.0007298
0.465278,1.0002081
0.466666,1.0004205
0.468055,1.0002596
0.469444,0.9994251
0.470833,0.9997379
0.472222,1.0001719
0.473611,1.0006154
0.475000,0.9999007
0.476389,1.0003210
0.477778,1.0002239
0.479166,1.0002141
0.480555,1.0003601
0.481944,1.0000788
0.483333,0.9999146
0.484722,1.0002416
0.486111,0.9998778
0.487500,1.0004969
0.488889,0.9998893
0.490278,1.0000121
0.491666,1.0002223
0.493055,1.0000798
0.494444,0.9994267
0.495833,1.0005075
0.497222,0.9999536
0.498611,1.0001082
0.500000,1.0001146
0.501389,1.0004063
0.502778,0.9999153
0.504166,0.9997370
0.505555,1.0002443
0.506944,1.0000492
0.508333,0.9996286
0.509722,1.0000020
0.511111,1.0002241
0.512500,1.0002868
0.513889,1.0008280
0.515278,0.9997184
0.516666,1.0000844
0.518055,1.0002135
0.519444,0.9995991
0.520833,1.0005325
0.522222,1.0000158
0.523611,1.0000769
0.525000,0.9992350
0.526389,1.0003160
0.527777,1.0000558
0.529166,0.9999986
0.530555,1.0002102
0.531944,1.0005376
0.533333,1.0000531
0.534722,1.0000468
0.536111,1.0002551
0.537500,0.9994003
0.538889,0.9997435
0.540277,1.0001924
0.541666,0.9999784
0.543055,0.9998995
0.544444,0.9998044
0.545833,1.0002408
0.547222,1.0001595
0.548611,1.0008737
0.550000,0.9995316
0.551389,1.0000746
0.552777,1.0000098
0.554166,1.0004045
0.555555,1.0001364
0.556944,0.9997381
0.558333,0.9998942
0.559722,0.9998202
0.561111,0.9999768
0.562500,1.0002266
0.563889,0.9996002
0.565277,1.0002465
0.566666,1.0001810
0.568055,1.0003145
0.569444,1.0001612
0.570833,1.0002204
0.572222,0.9996657
0.573611,0.9996839
0.575000,0.9993535
0.576389,1.0001490
0.577777,0.9999756
0.579166,0.9997378
0.580555,1.0000678
0.581944,0.9997080
0.583333,1.0003461
0.584722,0.9998755
0.586111,1.0000933
0.587500,1.0000511
0.588889,0.9999355
0.590277,0.9999650
0.591666,0.9998312
0.593055,1.0000348
0.594444,1.0004181
0.595833,1.0001974
0.597222,0.9996814
0.598611,1.0000360
0.600000,0.9996003
0.601388,1.0001496
0.602777,1.0005641
0.604166,1.0003445
0.605555,0.9998373
0.606944,0.9999512
0.608333,0.9997130
0.609722,0.9998607
0.611111,0.9992323
0.612500,0.9997790
0.613888,1.0000504
0.615277,0.9998863
0.616666,1.0004252
0.618055,1.0000279
0.619444,1.0003316
0.620833,1.0003168
0.622222,1.0003512
0.623611,1.0006968
0.625000,1.0003095
0.626388,1.0000959
0.627777,0.9998968
0.629166,0.9993050
0.630555,1.0005489
0.631944,1.0001982
0.633333,0.9998893
0.634722,0.9998101
0.636111,0.9994320
0.637500,1.0001312
0.638888,1.0002044
0.640277,0.9996355
0.641666,1.0001679
0.643055,1.0003783
0.644444,0.9998919
0.645833,0.9999157
0.647222,1.0003356
0.648611,0.9997754
0.649999,1.0001623
0.651388,1.0003135
0.652777,1.0000648
0.654166,1.0001887
0.655555,0.9996943
0.656944,1.0008437
0.658333,1.0000957
0.659722,0.9997694
0.661111,0.9999561
0.662499,1.0001007
